freq,psd_x,psd_y,psd_z,psd_xyz
54.7,9.711e+04,4.520e+04,9.563e+03,1.519e+05
56.2,8.352e+04,4.279e+04,1.296e+04,1.393e+05
57.7,7.510e+04,4.128e+04,1.431e+04,1.307e+05
59.1,6.660e+04,3.922e+04,1.189e+04,1.177e+05
60.6,5.855e+04,3.561e+04,9.200e+03,1.034e+05
62.1,5.229e+04,3.275e+04,6.989e+03,9.203e+04
63.6,4.570e+04,3.266e+04,4.812e+03,8.317e+04
65.0,3.947e+04,3.222e+04,2.753e+03,7.444e+04
66.5,3.705e+04,3.091e+04,1.508e+03,6.947e+04
68.0,3.564e+04,3.094e+04,1.263e+03,6.784e+04
69.5,3.576e+04,3.424e+04,1.031e+03,7.104e+04
71.0,3.481e+04,3.881e+04,5.948e+02,7.422e+04
